"Relative Time (Process)","StudyAbroadGPT-7B-continued - system/cpu.0.cpu_percent","StudyAbroadGPT-7B-continued - system/cpu.0.cpu_percent__MIN","StudyAbroadGPT-7B-continued - system/cpu.0.cpu_percent__MAX","StudyAbroadGPT-7B-continued - system/cpu.1.cpu_percent","StudyAbroadGPT-7B-continued - system/cpu.1.cpu_percent__MIN","StudyAbroadGPT-7B-continued - system/cpu.1.cpu_percent__MAX","StudyAbroadGPT-7B-continued - system/cpu.2.cpu_percent","StudyAbroadGPT-7B-continued - system/cpu.2.cpu_percent__MIN","StudyAbroadGPT-7B-continued - system/cpu.2.cpu_percent__MAX","StudyAbroadGPT-7B-continued - system/cpu.3.cpu_percent","StudyAbroadGPT-7B-continued - system/cpu.3.cpu_percent__MIN","StudyAbroadGPT-7B-continued - system/cpu.3.cpu_percent__MAX"
"15.26030913","44.68085106382967","44.68085106382967","44.68085106382967","42.23081882656303","42.23081882656303","42.23081882656303","40.92963202065833","40.92963202065833","40.92963202065833","40.95607235142143","40.95607235142143","40.95607235142143"
"25.256576969","38.83883883883959","38.83883883883959","38.83883883883959","49.44723618090446","49.44723618090446","49.44723618090446","32.49496981891208","32.49496981891208","32.49496981891208","57.64944275582549","57.64944275582549","57.64944275582549"
"35.256913246","37.074148296593","37.074148296593","37.074148296593","28.64321608040229","28.64321608040229","28.64321608040229","33.903420523138834","33.903420523138834","33.903420523138834","39.77619532044796","39.77619532044796","39.77619532044796"
"45.256503487","44.21157684630689","44.21157684630689","44.21157684630689","53.59999999999957","53.59999999999957","53.59999999999957","23.446893787576727","23.446893787576727","23.446893787576727","21.6867469879518","21.6867469879518","21.6867469879518"
"55.256860128","46.346346346346785","46.346346346346785","46.346346346346785","35.13513513513501","35.13513513513501","35.13513513513501","10.910910910910063","10.910910910910063","10.910910910910063","12.400000000000091","12.400000000000091","12.400000000000091"
"65.25645041","13.77245508982034","13.77245508982034","13.77245508982034","94.50549450549501","94.50549450549501","94.50549450549501","9.227683049147007","9.227683049147007","9.227683049147007","3.5211267605630177","3.5211267605630177","3.5211267605630177"
"75.256605235","32.83433133732538","32.83433133732538","32.83433133732538","68.8933200398801","68.8933200398801","68.8933200398801","5.817452357071247","5.817452357071247","5.817452357071247","8.617234468938895","8.617234468938895","8.617234468938895"
"85.256846855","88.71128871128889","88.71128871128889","88.71128871128889","9.600000000000364","9.600000000000364","9.600000000000364","4.914744232698172","4.914744232698172","4.914744232698172","1.0050251256282334","1.0050251256282334","1.0050251256282334"
"95.256247523","62.899999999999636","62.899999999999636","62.899999999999636","15.684315684315061","15.684315684315061","15.684315684315061","7.9158316633282295","7.9158316633282295","7.9158316633282295","33.13313313313256","33.13313313313256","33.13313313313256"
"105.256670801","27.145708582834654","27.145708582834654","27.145708582834654","2.4024024024024913","2.4024024024024913","2.4024024024024913","2.0120724346069947","2.0120724346069947","2.0120724346069947","72.40000000000009","72.40000000000009","72.40000000000009"
