"Relative Time (Process)","StudyAbroadGPT-7B - system/gpu.0.temp","StudyAbroadGPT-7B - system/gpu.0.temp__MIN","StudyAbroadGPT-7B - system/gpu.0.temp__MAX"
"2195.410952215","73","73","73"
"2205.411903602","73","73","73"
"2215.414278402","73","73","73"
"2225.412007559","73","73","73"
"2235.411102679","73","73","73"
"2245.411622578","74","74","74"
"2255.418894774","73","73","73"
"2265.414956628","73","73","73"
"2275.41184301","73","73","73"
"2285.410963977","72","72","72"
"2295.412530662","73","73","73"
"2305.412772184","73","73","73"
"2315.411893112","72","72","72"
"2325.412098662","73","73","73"
"2335.411781539","73","73","73"
"2345.413673703","73","73","73"
"2355.411483871","72","72","72"
"2365.414724332","73","73","73"
"2375.411127442","73","73","73"
"2385.412079876","73","73","73"
"2395.413505507","73","73","73"
"2405.411173636","73","73","73"
"2415.411728608","73","73","73"
"2425.41421959","74","74","74"
"2435.411555875","73","73","73"
"2445.412270359","74","74","74"
"2455.415381257","73","73","73"
"2465.411972076","73","73","73"
"2475.411609934","73","73","73"
"2485.420319276","73","73","73"
"2495.412461321","72","72","72"
"2505.411227115","74","74","74"
"2515.412221748","73","73","73"
"2525.41166809","73","73","73"
"2535.411933454","73","73","73"
"2545.411108089","73","73","73"
"2555.415908782","73","73","73"
"2565.41164305","73","73","73"
"2575.411383217","73","73","73"
"2585.411887438","72","72","72"
"2595.411575131","73","73","73"
"2605.412543687","73","73","73"
"2615.412879141","72","72","72"
"2625.412219673","73","73","73"
"2635.415326391","73","73","73"
"2645.412669842","73","73","73"
"2655.414269862","73","73","73"
"2665.411804598","73","73","73"
"2675.412909718","72","72","72"
"2685.41492717","73","73","73"
"2695.415691622","73","73","73"
"2705.411692869","73","73","73"
"2715.417262523","72","72","72"
"2725.411737993","73","73","73"
"2735.416437092","73","73","73"
"2745.412202607","72","72","72"
"2755.412723218","73","73","73"
"2765.413595791","73","73","73"
"2775.411016321","73","73","73"
"2785.412239832","74","74","74"
"2795.412653782","74","74","74"
"2805.41127622","73","73","73"
"2815.411299777","73","73","73"
"2825.414858823","72","72","72"
"2835.411694564","73","73","73"
"2845.410824718","73","73","73"
"2855.411135127","73","73","73"
"2865.413289655","73","73","73"
"2875.411754195","73","73","73"
"2885.411952961","73","73","73"
"2895.410986276","73","73","73"
"2905.418403418","73","73","73"
"2915.414726061","73","73","73"
"2925.412528514","73","73","73"
"2935.411922667","73","73","73"
"2945.411438928","73","73","73"
"2955.419458695","73","73","73"
"2965.41245981","73","73","73"
"2975.411159761","73","73","73"
"2985.4129458","73","73","73"
"2995.411836221","73","73","73"
"3005.411503274","73","73","73"
"3015.41202553","73","73","73"
"3025.412129055","73","73","73"
"3035.41113689","73","73","73"
"3045.412566135","73","73","73"
"3055.41143894","74","74","74"
"3065.41114961","73","73","73"
"3075.411812485","73","73","73"
"3085.411781058","73","73","73"
"3095.411323811","73","73","73"
"3105.413356756","73","73","73"
"3115.411721513","73","73","73"
"3125.411144028","74","74","74"
"3135.410916046","73","73","73"
"3145.412565269","73","73","73"
"3155.411772288","73","73","73"
"3165.41139911","73","73","73"
"3175.411626393","73","73","73"
"3185.415291662","74","74","74"
"3195.418259217","73","73","73"
"3205.413663598","73","73","73"
"3215.411990932","73","73","73"
"3225.415938272","73","73","73"
"3235.414777553","73","73","73"
"3245.412894779","73","73","73"
"3255.412327642","73","73","73"
"3265.416183394","73","73","73"
"3275.415586583","73","73","73"
"3285.411374381","73","73","73"
"3295.411724031","73","73","73"
"3305.415908253","73","73","73"
"3315.411827801","73","73","73"
"3325.412928082","73","73","73"
"3335.412504007","73","73","73"
"3345.411899448","73","73","73"
"3355.415283073","73","73","73"
"3365.412171197","73","73","73"
"3375.411887322","73","73","73"
"3385.415729345","73","73","73"
"3395.413464974","73","73","73"
"3405.411836476","74","74","74"
"3415.411663239","73","73","73"
"3425.413046437","73","73","73"
"3435.41222471","73","73","73"
"3445.41202448","73","73","73"
"3455.411501937","73","73","73"
"3465.411740223","73","73","73"
"3475.414189522","73","73","73"
"3485.411418823","73","73","73"
"3495.412666936","73","73","73"
"3505.414221256","74","74","74"
"3515.412248484","73","73","73"
"3525.411449694","73","73","73"
"3535.412392024","73","73","73"
"3545.412229875","73","73","73"
"3555.411300369","72","72","72"
"3565.415825152","74","74","74"
"3575.410949271","72","72","72"
"3585.412363193","74","74","74"
"3595.411394325","73","73","73"
"3605.411601172","73","73","73"
"3615.415986935","73","73","73"
"3625.411864321","73","73","73"
"3635.411411223","73","73","73"
"3645.412200551","73","73","73"
"3655.41381964","74","74","74"
"3665.4120409","73","73","73"
"3675.411426767","73","73","73"
"3685.41247843","73","73","73"
"3695.41121119","74","74","74"
"3705.414031439","73","73","73"
"3715.411874095","73","73","73"
"3725.411789728","73","73","73"
"3735.411520204","73","73","73"
"3745.41126627","73","73","73"
"3755.411623597","73","73","73"
"3765.412567579","73","73","73"
"3775.4123153","73","73","73"
"3785.41610154","73","73","73"
"3795.411575585","73","73","73"
"3805.411674456","73","73","73"
"3815.414091634","73","73","73"
"3825.411660241","73","73","73"
"3835.411720595","73","73","73"
"3845.411603942","72","72","72"
"3855.411410609","73","73","73"
"3865.412122833","72","72","72"
"3875.411448973","73","73","73"
"3885.411172585","73","73","73"
"3895.412336278","74","74","74"
"3905.411326343","73","73","73"
"3915.411600168","73","73","73"
"3925.411138106","73","73","73"
"3935.414650514","73","73","73"
"3945.411224131","73","73","73"
"3955.411527363","73","73","73"
"3965.411134542","73","73","73"
"3975.411738568","73","73","73"
"3985.411737955","73","73","73"
"3995.411733064","73","73","73"
"4005.411638418","73","73","73"
"4015.411785785","73","73","73"
"4025.416441103","73","73","73"
"4035.412585433","72","72","72"
"4045.411685431","74","74","74"
"4055.411179653","73","73","73"
"4065.411197727","73","73","73"
"4075.412704652","74","74","74"
"4085.411683538","73","73","73"
"4095.416198941","73","73","73"
"4105.412114284","74","74","74"
"4115.411753024","73","73","73"
"4125.411903796","73","73","73"
"4135.411431945","73","73","73"
"4145.414139948","73","73","73"
"4155.414993476","73","73","73"
"4165.411279047","73","73","73"
"4175.41092232","74","74","74"
"4185.411775702","73","73","73"
"4195.411983621","73","73","73"
"4205.411901324","73","73","73"
"4215.412958295","73","73","73"
"4225.411759082","73","73","73"
"4235.414241777","73","73","73"
"4245.411837143","74","74","74"
"4255.412181322","73","73","73"
"4265.411068585","73","73","73"
"4275.414172243","72","72","72"
"4285.412727077","73","73","73"
"4295.412047745","73","73","73"
"4305.412316981","73","73","73"
"4315.410896534","73","73","73"
"4325.411141583","74","74","74"
"4335.411796243","73","73","73"
"4345.414026569","73","73","73"
"4355.411444373","72","72","72"
"4365.412180272","73","73","73"
"4375.415355515","73","73","73"
"4385.410981157","73","73","73"
"4395.411910005","73","73","73"
"4405.411313303","73","73","73"
"4415.412789567","73","73","73"
"4425.411631902","73","73","73"
"4435.411403519","73","73","73"
"4445.411445977","74","74","74"
"4455.410982678","73","73","73"
"4465.411938311","73","73","73"
"4475.416395645","73","73","73"
"4485.411582772","73","73","73"
"4495.41144944","73","73","73"
"4505.411692229","73","73","73"
"4515.411985858","74","74","74"
"4525.412561691","73","73","73"
"4535.411802924","74","74","74"
"4545.412233711","73","73","73"
"4555.411343626","73","73","73"
"4565.417542099","73","73","73"
"4575.414976976","74","74","74"
"4585.411935821","73","73","73"
"4595.41091824","73","73","73"
"4605.411597997","73","73","73"
"4615.415628076","73","73","73"
"4625.411628074","73","73","73"
"4635.417137778","73","73","73"
"4645.411522476","73","73","73"
"4655.411107846","73","73","73"
"4665.411556531","73","73","73"
"4675.415020139","72","72","72"
"4685.412048616","73","73","73"
"4695.410947429","73","73","73"
"4705.414130225","73","73","73"
"4715.411427952","73","73","73"
"4725.412731143","73","73","73"
"4735.411486408","73","73","73"
"4745.414613794","73","73","73"
"4755.411465772","74","74","74"
"4765.417970233","73","73","73"
"4775.418225195","74","74","74"
"4785.4125644","73","73","73"
"4795.411198539","73","73","73"
"4805.410995006","73","73","73"
"4815.417311036","73","73","73"
"4825.411859034","73","73","73"
"4835.412154757","73","73","73"
"4845.412242882","73","73","73"
"4855.411421882","73","73","73"
"4865.410760101","73","73","73"
"4875.411271798","73","73","73"
"4885.411845216","74","74","74"
"4895.411696467","74","74","74"
"4905.411156044","73","73","73"
"4915.411613157","72","72","72"
"4925.412454119","73","73","73"
"4935.41094946","73","73","73"
"4945.411097451","73","73","73"
"4955.411075622","73","73","73"
"4965.412198008","73","73","73"
"4975.415365615","72","72","72"
"4985.413327206","73","73","73"
"4995.410899753","73","73","73"
"5005.412497238","73","73","73"
"5015.415762986","74","74","74"
"5025.415778945","73","73","73"
"5035.412575305","72","72","72"
"5045.411197361","73","73","73"
"5055.417270607","74","74","74"
"5065.41254392","72","72","72"
"5075.411879732","74","74","74"
"5085.412316808","73","73","73"
"5095.413861218","73","73","73"
"5105.416465378","73","73","73"
"5115.412833804","73","73","73"
"5125.413131234","73","73","73"
"5135.411910132","73","73","73"
"5145.411282997","73","73","73"
"5155.411852133","73","73","73"
"5165.412187957","72","72","72"
"5175.411423852","73","73","73"
"5185.411780484","72","72","72"
"5195.411876483","73","73","73"
"5205.411728005","72","72","72"
"5215.410897451","73","73","73"
"5225.418901019","72","72","72"
"5235.411601852","74","74","74"
"5245.412196396","73","73","73"
"5255.41341614","74","74","74"
"5265.410942662","72","72","72"
"5275.412392525","73","73","73"
"5285.412361137","73","73","73"
"5295.411828667","73","73","73"
"5305.413166232","73","73","73"
"5315.411453526","74","74","74"
"5325.412625452","73","73","73"
"5335.411909625","74","74","74"
"5345.411741492","73","73","73"
"5355.411398135","72","72","72"
"5365.411649297","73","73","73"
"5375.411434836","73","73","73"
"5385.418016377","73","73","73"
"5395.411334014","73","73","73"
"5405.413813352","73","73","73"
"5415.411733599","73","73","73"
"5425.420727213","72","72","72"
"5435.4114517","74","74","74"
"5445.412683613","73","73","73"
"5455.41219522","73","73","73"
"5465.411952708","74","74","74"
"5475.416679485","73","73","73"
"5485.411533177","73","73","73"
"5495.41327887","74","74","74"
"5505.411426212","72","72","72"
"5515.412216785","73","73","73"
"5525.411577782","73","73","73"
"5535.412939855","73","73","73"
"5545.410899582","71","71","71"
"5555.41386251","73","73","73"
"5565.412568081","73","73","73"
"5575.411995721","73","73","73"
"5585.413962998","74","74","74"
"5595.412749419","73","73","73"
"5605.411272615","73","73","73"
"5615.415209118","73","73","73"
"5625.42277779","73","73","73"
"5635.414624362","73","73","73"
"5645.411048182","73","73","73"
"5655.412284789","73","73","73"
"5665.411319653","73","73","73"
"5675.411776056","73","73","73"
"5685.412801151","73","73","73"
"5695.411079259","73","73","73"
"5705.412101938","73","73","73"
"5715.411631286","73","73","73"
"5725.416782814","73","73","73"
"5735.411292024","72","72","72"
"5745.41214693","74","74","74"
"5755.412486179","73","73","73"
"5765.411470871","73","73","73"
"5775.414051854","73","73","73"
"5785.412592758","72","72","72"
"5795.411126976","73","73","73"
"5805.412426518","73","73","73"
"5815.413858624","73","73","73"
"5825.419230085","73","73","73"
"5835.41283342","73","73","73"
"5845.411376084","73","73","73"
"5855.414410676","73","73","73"
"5865.415347797","73","73","73"
"5875.412254094","74","74","74"
"5885.415112073","73","73","73"
"5895.411499385","73","73","73"
"5905.411079253","73","73","73"
"5915.411417224","73","73","73"
"5925.412710795","73","73","73"
"5935.412456254","73","73","73"
"5945.410947866","73","73","73"
"5955.411235643","74","74","74"
"5965.416361704","73","73","73"
"5975.410777359","74","74","74"
"5985.411006392","73","73","73"
"5995.41181754","73","73","73"
"6005.412070937","73","73","73"
"6015.411909619","74","74","74"
"6025.413377131","73","73","73"
"6035.411676401","73","73","73"
"6045.410853619","73","73","73"
"6055.41190972","74","74","74"
"6065.412305462","73","73","73"
"6075.423772725","73","73","73"
"6085.411243386","73","73","73"
"6095.411784284","72","72","72"
"6105.411341676","73","73","73"
"6115.411651614","73","73","73"
"6125.411677638","73","73","73"
"6135.411516478","73","73","73"
"6145.411421422","74","74","74"
"6155.41355591","72","72","72"
"6165.412135057","73","73","73"
"6175.411787945","74","74","74"
"6185.415005784","73","73","73"
"6195.411557255","73","73","73"
"6205.411214593","73","73","73"
"6215.411932127","73","73","73"
"6225.417741847","73","73","73"
"6235.413190352","73","73","73"
"6245.411644422","73","73","73"
"6255.411667831","73","73","73"
"6265.412938382","73","73","73"
"6275.411980022","73","73","73"
"6285.41162377","73","73","73"
"6295.413141969","72","72","72"
"6305.41214119","73","73","73"
"6315.411573872","73","73","73"
"6325.41235574","73","73","73"
"6335.411625455","73","73","73"
"6345.418116037","73","73","73"
"6355.415880673","73","73","73"
"6365.410776369","73","73","73"
"6375.411448498","73","73","73"
"6385.420605084","73","73","73"
"6395.413899981","73","73","73"
"6405.411811119","73","73","73"
"6415.414862011","73","73","73"
"6425.411411491","72","72","72"
"6435.411152785","74","74","74"
"6445.411743661","73","73","73"
"6455.411372979","73","73","73"
"6465.411605788","72","72","72"
"6475.411836944","73","73","73"
"6485.411213628","72","72","72"
"6495.415892002","73","73","73"
"6505.411350388","73","73","73"
"6515.411723232","73","73","73"
"6525.414254905","74","74","74"
"6535.413709337","73","73","73"
"6545.412772404","73","73","73"
"6555.411687865","73","73","73"
"6565.411246657","72","72","72"
"6575.411448231","73","73","73"
"6585.412792487","73","73","73"
"6595.414748994","73","73","73"
"6605.412676028","73","73","73"
"6615.412675827","74","74","74"
"6625.416235341","73","73","73"
"6635.411263427","73","73","73"
"6645.411835355","72","72","72"
"6655.412236447","73","73","73"
"6665.411761764","73","73","73"
"6675.417607684","73","73","73"
"6685.41166645","73","73","73"
"6695.411712261","73","73","73"
"6705.411005731","72","72","72"
"6715.412565232","74","74","74"
"6725.412787554","72","72","72"
"6735.416417804","74","74","74"
"6745.415216505","73","73","73"
"6755.411204199","73","73","73"
"6765.411202966","73","73","73"
"6775.411068108","73","73","73"
"6785.411322115","73","73","73"
"6795.411360875","73","73","73"
"6805.411529686","73","73","73"
"6815.414144215","73","73","73"
"6825.411785617","72","72","72"
"6835.412175223","73","73","73"
"6845.415324455","73","73","73"
"6855.411459023","73","73","73"
"6865.411381799","73","73","73"
"6875.411450242","73","73","73"
"6885.411733604","72","72","72"
"6895.413631836","73","73","73"
"6905.41220331","73","73","73"
"6915.411367127","72","72","72"
"6925.410833943","72","72","72"
"6935.41803182","73","73","73"
"6945.412048688","72","72","72"
"6955.411623089","73","73","73"
"6965.413185372","73","73","73"
"6975.412107328","73","73","73"
"6985.411434455","73","73","73"
"6995.410864401","72","72","72"
"7005.412443357","73","73","73"
"7015.411427426","73","73","73"
"7025.41210309","73","73","73"
"7035.419625844","72","72","72"
"7045.411399343","74","74","74"
"7055.415930159","74","74","74"
"7065.41183735","73","73","73"
"7075.411509628","73","73","73"
"7085.411428785","73","73","73"
"7095.411191609","73","73","73"
"7105.41104051","73","73","73"
"7115.41147993","73","73","73"
"7125.411825987","72","72","72"
"7135.411696187","72","72","72"
"7145.411368681","74","74","74"
"7155.4117383","73","73","73"
"7165.411690041","73","73","73"
"7175.416513409","73","73","73"
"7185.411794059","73","73","73"
"7195.412335592","73","73","73"
"7205.411831509","74","74","74"
"7215.412346908","72","72","72"
"7225.415303533","74","74","74"
"7235.412866385","72","72","72"
"7245.412006662","74","74","74"
"7255.411298817","73","73","73"
"7265.4117241","73","73","73"
"7275.410917156","73","73","73"
"7285.412436295","73","73","73"
"7295.411912065","73","73","73"
"7305.411876876","73","73","73"
"7315.411560071","73","73","73"
"7325.411895999","74","74","74"
"7335.411633473","73","73","73"
"7345.412173522","73","73","73"
"7355.411106465","72","72","72"
"7365.411327138","73","73","73"
"7375.413843476","73","73","73"
"7385.411946143","73","73","73"
"7395.412888164","73","73","73"
"7405.412625601","73","73","73"
"7415.412719441","72","72","72"
"7425.411336143","73","73","73"
"7435.413130826","73","73","73"
"7445.411457531","73","73","73"
"7455.411512456","73","73","73"
"7465.414218143","72","72","72"
"7475.411607068","74","74","74"
"7485.411280781","73","73","73"
"7495.411382658","73","73","73"
"7505.411700461","73","73","73"
"7515.412408728","74","74","74"
"7525.411258861","72","72","72"
"7535.411417441","73","73","73"
"7545.411048589","73","73","73"
"7555.412241979","73","73","73"
"7565.412256608","73","73","73"
"7575.411906601","73","73","73"
"7585.412449584","72","72","72"
"7595.411447388","73","73","73"
"7605.414672165","73","73","73"
"7615.413399657","72","72","72"
"7625.412545189","73","73","73"
"7635.41557482","74","74","74"
"7645.414348086","73","73","73"
"7655.413136764","73","73","73"
"7665.410798322","73","73","73"
"7675.410886306","73","73","73"
"7685.416125315","73","73","73"
"7695.412294658","73","73","73"
"7705.410853312","73","73","73"
"7715.41142571","72","72","72"
"7725.413213106","74","74","74"
"7735.411717404","73","73","73"
"7745.411833064","72","72","72"
"7755.411779191","73","73","73"
"7765.41184969","73","73","73"
"7775.413807674","73","73","73"
"7785.411687533","73","73","73"
"7795.412236667","73","73","73"
"7805.41168768","73","73","73"
"7815.415570248","73","73","73"
"7825.413615468","74","74","74"
"7835.411497063","73","73","73"
"7845.412361314","73","73","73"
"7855.411014664","73","73","73"
"7865.412445862","72","72","72"
"7875.411252928","73","73","73"
"7885.410986581","73","73","73"
"7895.414295333","73","73","73"
"7905.414170497","73","73","73"
"7915.41139238","74","74","74"
"7925.416415274","72","72","72"
"7935.411765366","73","73","73"
"7945.414294694","73","73","73"
"7955.414652241","73","73","73"
"7965.411041643","73","73","73"
"7975.411325222","73","73","73"
"7985.416624729","74","74","74"
"7995.414535419","73","73","73"
"8005.411576351","73","73","73"
"8015.413032309","73","73","73"
"8025.411588827","73","73","73"
"8035.416859308","74","74","74"
"8045.411701037","73","73","73"
"8055.412420561","73","73","73"
"8065.412158941","73","73","73"
"8075.412423025","73","73","73"
"8085.418446892","73","73","73"
"8095.411314387","74","74","74"
"8105.4155639","73","73","73"
"8115.414093514","73","73","73"
"8125.411886567","72","72","72"
"8135.410859157","73","73","73"
"8145.415673522","73","73","73"
"8155.412759315","73","73","73"
"8165.411234652","72","72","72"
"8175.411925313","73","73","73"
"8185.413569796","73","73","73"
"8195.411776841","74","74","74"
"8205.416342219","73","73","73"
"8215.411248706","73","73","73"
"8225.411947861","73","73","73"
"8235.411797533","74","74","74"
"8245.412213082","73","73","73"
"8255.412224219","73","73","73"
"8265.411098695","73","73","73"
"8275.411443934","73","73","73"
"8285.412239287","73","73","73"
"8295.412050465","73","73","73"
"8305.411856865","73","73","73"
"8315.416549274","73","73","73"
"8325.412105997","73","73","73"
"8335.411138065","73","73","73"
"8345.411598525","73","73","73"
"8355.411294741","73","73","73"
"8365.411464787","72","72","72"
"8375.413021901","72","72","72"
"8385.411708713","73","73","73"
"8395.411462211","73","73","73"
"8405.417415513","73","73","73"
"8415.413142439","73","73","73"
"8425.411938471","72","72","72"
"8435.414227643","73","73","73"
"8445.411174097","73","73","73"
"8455.419267463","74","74","74"
"8465.411260479","73","73","73"
"8475.411243994","72","72","72"
"8485.411709332","73","73","73"
"8495.419633624","73","73","73"
"8505.411948464","72","72","72"
"8515.411644413","73","73","73"
"8525.411198213","73","73","73"
"8535.411918489","73","73","73"
"8545.412198099","73","73","73"
"8555.413325685","73","73","73"
"8565.411727634","72","72","72"
"8575.411193578","72","72","72"
"8585.411909355","74","74","74"
"8595.415168248","74","74","74"
"8605.411580904","73","73","73"
"8615.410890485","73","73","73"
"8625.411589935","73","73","73"
"8635.410986092","73","73","73"
"8645.410963826","73","73","73"
"8655.415330927","73","73","73"
"8665.412265789","72","72","72"
"8675.415963643","74","74","74"
"8685.411135643","73","73","73"
"8695.411977163","73","73","73"
"8705.411701469","73","73","73"
"8715.414989032","73","73","73"
"8725.413671391","73","73","73"
"8735.411950973","73","73","73"
"8745.420402003","73","73","73"
"8755.412885201","73","73","73"
"8765.4110916","73","73","73"
"8775.411341589","73","73","73"
"8785.410864959","73","73","73"
"8795.416774009","73","73","73"
"8805.4116846","73","73","73"
"8815.411653838","73","73","73"
"8825.411435601","73","73","73"
"8835.412579621","73","73","73"
"8845.411558524","73","73","73"
"8855.414882364","73","73","73"
"8865.415814538","73","73","73"
"8875.41196801","72","72","72"
"8885.411297795","73","73","73"
"8895.413409901","72","72","72"
"8905.411681586","73","73","73"
"8915.411824869","73","73","73"
"8925.41188914","73","73","73"
"8935.411015052","73","73","73"
"8945.411812489","73","73","73"
"8955.41542505","73","73","73"
"8965.414522883","73","73","73"
"8975.411463876","72","72","72"
"8985.412053437","73","73","73"
"8995.412824909","73","73","73"
"9005.41178688","74","74","74"
"9015.412437497","73","73","73"
"9025.411839677","73","73","73"
"9035.410909569","73","73","73"
"9045.411417581","73","73","73"
"9055.412315899","73","73","73"
"9065.419968982","73","73","73"
"9075.417759846","73","73","73"
"9085.411040067","73","73","73"
"9095.411957167","73","73","73"
"9105.412312482","73","73","73"
"9115.412670115","73","73","73"
"9125.411352784","73","73","73"
"9135.4111428","73","73","73"
"9145.412128087","73","73","73"
"9155.411491496","73","73","73"
"9165.411540977","72","72","72"
"9175.41341153","73","73","73"
"9185.418483039","73","73","73"
"9195.410967492","73","73","73"
"9205.411211147","73","73","73"
"9215.41552917","73","73","73"
"9225.414264696","73","73","73"
"9235.412021879","72","72","72"
"9245.411822092","73","73","73"
"9255.413920857","73","73","73"
"9265.412511333","73","73","73"
"9275.412396718","73","73","73"
"9285.411278201","73","73","73"
"9295.415848517","74","74","74"
"9305.410961338","73","73","73"
"9315.414792759","73","73","73"
"9325.411575976","73","73","73"
