"Relative Time (Process)","StudyAbroadGPT-7B - system/cpu.0.cpu_percent","StudyAbroadGPT-7B - system/cpu.0.cpu_percent__MIN","StudyAbroadGPT-7B - system/cpu.0.cpu_percent__MAX","StudyAbroadGPT-7B - system/cpu.1.cpu_percent","StudyAbroadGPT-7B - system/cpu.1.cpu_percent__MIN","StudyAbroadGPT-7B - system/cpu.1.cpu_percent__MAX","StudyAbroadGPT-7B - system/cpu.2.cpu_percent","StudyAbroadGPT-7B - system/cpu.2.cpu_percent__MIN","StudyAbroadGPT-7B - system/cpu.2.cpu_percent__MAX","StudyAbroadGPT-7B - system/cpu.3.cpu_percent","StudyAbroadGPT-7B - system/cpu.3.cpu_percent__MIN","StudyAbroadGPT-7B - system/cpu.3.cpu_percent__MAX"
"15.409319057","20.53231939163375","20.53231939163375","20.53231939163375","21.841269841269916","21.841269841269916","21.841269841269916","25.285171102661874","25.285171102661874","25.285171102661874","23.9695624603671","23.9695624603671","23.9695624603671"
"25.407394499","63.08926780340941","63.08926780340941","63.08926780340941","59.95995995995943","59.95995995995943","59.95995995995943","59.29648241206037","59.29648241206037","59.29648241206037","89.44723618090427","89.44723618090427","89.44723618090427"
"35.412249392","22.94589178357019","22.94589178357019","22.94589178357019","43.28657314629357","43.28657314629357","43.28657314629357","20.160481444334675","20.160481444334675","20.160481444334675","43.23499491353019","43.23499491353019","43.23499491353019"
"45.407426339","35.92814371257344","35.92814371257344","35.92814371257344","32.13213213213147","32.13213213213147","32.13213213213147","63.836163836164495","63.836163836164495","63.836163836164495","30.87044534412975","30.87044534412975","30.87044534412975"
"55.407273893","10.51051051051","10.51051051051","10.51051051051","11.411411411409984","11.411411411409984","11.411411411409984","80.88088088088051","80.88088088088051","80.88088088088051","3.0090270812454785","3.0090270812454785","3.0090270812454785"
"65.406799258","8.634538152609405","8.634538152609405","8.634538152609405","12.964824120604876","12.964824120604876","12.964824120604876","92.39239239239247","92.39239239239247","92.39239239239247","7.615230460921596","7.615230460921596","7.615230460921596"
"75.407508654","11.111111111112375","11.111111111112375","11.111111111112375","41.80000000000064","41.80000000000064","41.80000000000064","54.945054945054714","54.945054945054714","54.945054945054714","4.518072289154887","4.518072289154887","4.518072289154887"
"85.40686782","5.611222444889222","5.611222444889222","5.611222444889222","32.43243243243235","32.43243243243235","32.43243243243235","70.32967032967004","70.32967032967004","70.32967032967004","4.0160642570288685","4.0160642570288685","4.0160642570288685"
"95.406661462","6.206206206207099","6.206206206207099","6.206206206207099","9.236947791165145","9.236947791165145","9.236947791165145","95.79579579579517","95.79579579579517","95.79579579579517","10.130391173520442","10.130391173520442","10.130391173520442"
"105.407212065","6.513026052102979","6.513026052102979","6.513026052102979","10.320641282565072","10.320641282565072","10.320641282565072","96.00000000000128","96.00000000000128","96.00000000000128","7.62286860581734","7.62286860581734","7.62286860581734"
